"","year","camp.length","deminc","base.poll","base.und","office","d.gone.neg","d.gone.neg.l1","d.gone.neg.l2","d.neg.frac.l3","week","dem.polls.l1","neg.rep.l1","neg.rep.l2","r.neg.frac.l3","num.rep.l1","num.dem.l1","undother.l1","r.neg.frac.l2","num.rep.l2","num.dem.l2","undother.l2","dem.contrib.l1","dem.contrib.l2","rep.contrib.l1","race","first.week","num.dem","demprcnt","d.neg.rec","rep.contrib.l2","d.neg.dur","dem.polls.l2","y2006","y2004","y2002","y2000","pos.prob.subset","missing","bart.sw","gbm.sw","gam.sw","bart.pscore","gbm.pscore","gam.pscore"
"38",2004,25,1,63.0434782608696,8,1,0,0,0,0,-1,60,0,0,0,0,220,5,0,0,211,5,97565,71125,11659,"AR-2-2004",-24,363,55.9160700244,0,1006,0,60,0,1,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"39",2006,25,0,56.3218390804598,13,0,0,0,0,0,-12,54.9184709970596,0,0,0,0,19,13.5,0,0,0,13.5,104878.99,46473.44,54940,"AR-1-2006",-24,113,57.758395291,0,16160,0,54.9184709970596,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"40",2006,25,0,56.3218390804598,13,0,0,0,0,0,-11,52.3255813953488,0,0,0,0,113,14,0,0,19,13.5,199096.84,104878.99,108895,"AR-1-2006",-24,114,57.758395291,0,54940,0,54.9184709970596,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"41",2006,25,0,56.3218390804598,13,0,0,0,0,0,-10,52.3255813953488,0,0,0,0,114,14,0,0,113,14,181295,199096.84,192638,"AR-1-2006",-24,103,57.758395291,0,108895,0,52.3255813953488,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"42",2006,25,0,56.3218390804598,13,0,0,0,0,0,-8,56.3218390804598,0,0,0,76,94,13,0,17,103,12.5,305610,190133,12713.64,"AR-1-2006",-24,128,57.758395291,0,156453.76,0,58.8381851560451,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"43",2006,25,0,56.3218390804598,13,0,0,0,0,0,-7,56.3218390804598,0,0,0,105,128,13,0,76,94,13,122491.84,305610,70,"AR-1-2006",-24,108,57.758395291,0,12713.64,0,56.3218390804598,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"44",2006,25,0,56.3218390804598,13,0,1,1,0,0,-5,58.0553218711113,0,0,0,197,157,8.66666666666667,0,129,108,13,228255.43,116312.59,13596.4,"AR-1-2006",-24,193,57.758395291,2,736.18,2,56.3218390804598,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"45",2006,25,0,56.3218390804598,13,0,1,1,1,0,-4,58.0553218711113,0.461165048543689,0,0,206,193,8.66666666666667,0,197,157,8.66666666666667,82689,228255.43,14548.6,"AR-1-2006",-24,343,57.758395291,3,13596.4,3,58.0553218711113,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"46",2006,25,0,56.3218390804598,13,0,1,1,1,0.0526315789473684,-3,55.5555555555556,0.823529411764706,0.461165048543689,0,272,343,10,0.05,206,193,8.66666666666667,198967.94,82689,93505.6,"AR-1-2006",-24,574,57.758395291,4,14548.6,4,58.0553218711113,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"47",2006,25,0,56.3218390804598,13,0,1,1,1,0.1,-2,56.2968907912728,0.795221843003413,0.823529411764706,0.05,293,574,10,0.0952380952380952,272,343,10,165763,198967.94,43873.41,"AR-1-2006",-24,586,57.758395291,5,93505.6,5,55.5555555555556,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"48",2006,25,0,56.3218390804598,13,0,1,1,1,0.142857142857143,-1,58.8376246274026,0.623529411764706,0.795221843003413,0.0952380952380952,255,586,6,0.136363636363636,293,574,10,116750,165763,62517,"AR-1-2006",-24,335,57.758395291,5,43873.41,6,56.2968907912728,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"49",2002,9,0,54.8387096774194,38,0,1,1,0,0,-5,49.2957746478873,0.236363636363636,0,0,220,229,29,0,0,0,27,0,0,287075,"AZ-1-2002",-8,508,50.5272813092,2,184173.96,2,50.6849315068493,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"50",2002,9,0,54.8387096774194,38,0,1,1,1,0,-4,53.9473684210526,0.537205081669691,0.236363636363636,0,551,508,24,0.333333333333333,220,229,29,0,0,38917.27,"AZ-1-2002",-8,565,50.5272813092,3,287075,3,49.2957746478873,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"51",2002,9,0,54.8387096774194,38,0,1,1,1,0.333333333333333,-3,52.6315789473684,0.462664714494876,0.537205081669691,0.333333333333333,683,565,24,0.5,551,508,24,0,0,70706.85,"AZ-1-2002",-8,429,50.5272813092,4,38917.27,4,53.9473684210526,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"52",2002,9,0,54.8387096774194,38,0,1,1,1,0.5,-2,60,0.532915360501567,0.462664714494876,0.5,638,429,20,0.6,683,565,24,0,0,123293.77,"AZ-1-2002",-8,575,50.5272813092,5,70706.85,5,52.6315789473684,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"53",2002,9,0,54.8387096774194,38,0,1,1,1,0.6,-1,54.6310589688175,0.944047619047619,0.532915360501567,0.6,840,575,19.5,0.666666666666667,638,429,20,0,0,119418,"AZ-1-2002",-8,742,50.5272813092,5,123293.77,6,60,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"54",2006,9,1,58.9539007092199,5,0,0,0,0,0,-4,70.7317073170732,0,0,0,0,0,18,0,0,0,8,0,0,0,"AZ-1-2006",-8,135,63.8457373427,0,-7339.87,0,69.5652173913043,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"55",2006,9,1,58.9539007092199,5,0,0,0,0,0,-3,63.7157344715591,0.525641025641026,0,0,78,135,9.66666666666667,0,0,0,18,0,0,0,"AZ-1-2006",-8,148,63.8457373427,0,0,0,70.7317073170732,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"56",2006,9,1,58.9539007092199,5,0,0,0,0,0,-1,73.6263736263736,0,0.666666666666667,0.2,0,69,9,0.333333333333333,3,148,9,0,0,135529.18,"AZ-1-2006",-8,278,63.8457373427,0,1889.45,0,73.6263736263736,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"57",2006,9,0,45.5364859859242,10,1,1,1,1,1,-4,44.4444444444444,0.547835990888383,1,1,878,719,19,1,860,650,13,69928,330390,640833,"AZ-2-2006",-8,1045,44.9187339664,5,236827,5,43.6781609195402,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"58",2006,9,0,45.5364859859242,10,1,1,1,1,1,-2,46.5909090909091,0.874,0.723449001051525,1,1000,1055,12,1,951,1045,11.3333333333333,1436631,962489,749664,"AZ-2-2006",-8,965,44.9187339664,5,276433,7,44.2193133381174,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"59",2006,9,0,45.5364859859242,10,1,1,1,1,1,-1,47.4167623421355,0.538461538461538,0.874,1,1170,965,12.9,1,1000,1055,12,608632,1436631,619399,"AZ-2-2006",-8,451,44.9187339664,5,749664,8,46.5909090909091,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"60",2000,36,1,61.1111111111111,10,1,0,0,0,0,-3,58.4269662921348,1,0,0.0333333333333333,71,0,11,0.032258064516129,0,0,12,80355,57249,379073,"CA-2-2000",-35,158,60.4164929031,0,1600,0,61.3636363636364,0,0,0,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"61",2000,36,1,61.1111111111111,10,1,0,0,0,0,-2,63.1578947368421,1,1,0.032258064516129,195,158,5,0.0625,71,0,11,734888,80355,94949,"CA-2-2000",-35,697,60.4164929031,0,379073,0,58.4269662921348,0,0,0,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"62",2000,36,1,61.1111111111111,10,1,0,0,0,0,-1,58.2417582417582,0.459893048128342,1,0.0625,187,697,9,0.0909090909090909,195,158,5,588402,734888,391016,"CA-2-2000",-35,1051,60.4164929031,0,94949,0,63.1578947368421,0,0,0,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"63",2002,36,1,48.8372093023256,14,0,1,0,0,0,-21,56.1111111111111,0,0,0.0833333333333333,0,366,24,0.0769230769230769,0,0,24,697133.04,1177236.51,524713.2,"CA-1-2002",-35,615,52.7127645212,1,871227.58,1,56.1111111111111,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
